class,text
Non-Hate,"""Failing to integrate refugee children risks devastating consequences: Children and youth who are out of school and unemployed are more susceptible to crime, exploitation, abuse and possibly radicalization."" https://t.co/lnwe7uv6Cz"
Hate,Many lice you will find in Viennese schools. Some refugees has brought us this as gift. To rescue it will cost 30 â‚¬ a person. https://t.co/UAv43Bylfb
Non-Hate,"What a way to damage LasVegas, such stupidity!! MGM turns to never-tested law to sue Vegas shooting victims   https://t.co/zgtqpu2xt5"
Hate,.⁦@united⁩ how about donating flights to deport the Invaders back to their homeland.  #StopTheInvasion #DeportThemAll  https://t.co/Ry2dah2KeJ
Non-Hate,"Russia did it!  Russia di....  Wait, what?  Big scary Russia is helping people go home without being detained etc? https://t.co/CmBZXrKPNV"
Hate,@Truthdig  Fake News it is not a new Stephen Miller Rule. the Public Charge rule has been part of the U.S #Immigration law  since 1882.  Why Should  U.S Taxpayers give Welfare to Immigrants and import the World's poor  ! #Veterans  #Trump #MAGA https://t.
Non-Hate,PolitiFact Florida: Bill Nelson claims detained immigrant parents charged $8/minute to call their children. He is such a phony he makes me sick   https://t.co/roQoY8rPAB  Shared from my Google feed
Hate,@ArvindKejriwal Pl save Delhi from becoming a SLUM CITY&amp;hub of illegal migrants.Pl take LG help in removing encroachments&amp;eviction of IMs
Non-Hate,As usual the media is giving two sides: a Republican side and a Democrat side on immigration. There are other views by why bother offering those up. How about we allow supply and demand for labor  decide how many cross and let Econ 101 supply and demand decide?
Non-Hate,"Netherlands: 1,400 girls per year become sex slaves to ‘˜migrant background’ men | Cape Fear Caller https://t.co/8w23fYwIVr via @TraddyCath"
Non-Hate,Books to Help Kids Understand What It’s Like to Be a #Refugee https://t.co/4qybPV8rj1 #WithRefugees @tyrusmaina @Refugees @refugeeaffairs @UNHCR_Kenya @RCKDirector @imaana102
Non-Hate,Russian meddling in Syrian refugee repatriation:https://t.co/nCjMUFCJc0
Hate,"@charliekirk11 We need to improve our country, schools, neighborhoods, hospitals, prisons, by kicking out the illegals. #BuildTheDamnWall #BuildThatWall"
Non-Hate,"“Every nation, tribe, and tongue” still applies when they’re on your doorstep instead of you being on theirs. So many have refused to “Go” that God started to bring them to us. An anti-immigrant attitude and mindset is anti-God and His will, period."
Non-Hate,"People say, ""Why didn't this or that immigrant for Central or South America apply the proper way and keep up with forms?""  For decades immigration has discriminated against people of color from Central and South America."
Non-Hate,"Mandy Manning, one of World Relief's friends and partners @WRSpokane, has just been named 2018 National Teacher of the Year for her work with #refugee and #immigrant students. Read more of her incredible story. âž_x009d_ https://t.co/UaolUHZDAc https://t.co/97AcbCtMTT"
Non-Hate,Starting Now on Pittsfield ETV: BCC Presents: Access Higher Ed: 'Berkshire Immigrant Stories'
Hate,@FAIRImmigration @NBCNews @JuliaEAinsley THIS CANNOT BE ALLOWED TO HAPPEN----CHILD KIDNAPPER AND MOLESTER MILLER NEEDS TO BE GONE!
Hate,The ONLY thing that can wash away this problem is a Big Red Wave in November!#BigRedWave #SendThemBack #IllegalCriminals
Non-Hate,"Canada using DNA testing, ancestry websites to investigate migrantshttps://t.co/9Ln2ZrqYAZAs far as Im concerned, those that entered undocumented / illegally gave up any right to privacy. https://t.co/zLrJzK4GwT"
Hate,This immigrant should be hung or shot! Period! Animal. https://t.co/wFcGoLCqJ5
Non-Hate,Immigrant Health Workers in the UK https://t.co/wzXNfyAMH3 https://t.co/mVaZ0ZCaVE
Non-Hate,Don't mess with these migrant dads #SkimmLife https://t.co/swVmkTlFRz via @theSkimm
Hate,"After IS is soon finished (US+Turkey secretserv. action), IS fighter have 11000 open Syrian passports for use. Stop immigration to Europe. https://t.co/CaHGlagaPW"
Hate,"@FAIRImmigration @BreitbartNews @NeilMunroDC Boy, they sure hated being separated from their kids, didn't they?#LiberalismIsAMentalDisorderThe kids shouldn't get to stay!!! #DeportThemAll #EndFamilySeparation!#StopCatchAndRelease"
Non-Hate,What a wonderful woman! This is the kind of immigrant we need here! 💕🇺🇸🇺🇸🇺🇸💪🏻 https://t.co/L6i1hjN30j
Non-Hate,Continued &amp; Sustained damage 2 the Tories! https://t.co/ueBPtdrLVx
Non-Hate,"Texas -v- DACA Draws Federal Judge Andrew Hanen, Big Trouble Looms For ImmigrationÂ Activists‘¦ https://t.co/n0aTMQzH7x https://t.co/apheHOzisW"
Hate,@Kashou_ @soulofkab real talk do you have eyes or were they gouged out by a rapefugee?
Hate,"#WakeUp #Spain !! Stop #IllegalImmigration , and #sendthemback . https://t.co/WRcSbwYOAG"
Hate,@flowers3712 As long as it takes to #BuildThatWall
Non-Hate,"Know Your Rights, Defend Your Rights! Come join a training that focuses on building sustainable community resistance against the increased violence against communities of color &amp; immigrant communities. Aug. 8-9. 10am-4pm. Open to all. Sign up is below! https://t.co/z9ZAMQVm8X https://t.co/Q3PaATirPq"
Non-Hate,US Army Quietly Discharging Immigrant Recruits https://t.co/HSmzX9wGiz
Non-Hate,"Libya let #Europe-bound migrants die in Mediterranean, rescue group says https://t.co/t7VzOax8Ye"
Hate,Danger Treasonous individuals paid for by Soros and globalist @potus @realDonaldTrump #LockHerUp #BuildTheWall #BoycottNike #BoycottNFL #EndDACA now !!!!!
Hate,Good News !Illegal Aliens Claiming Fake Asylum are being deported in Record Numbers Not #HereToStay #Immigration  #RedNationRising #Trump #MAGA #SendThemHome https://t.co/3u6TddW7NM via @tennessean
Non-Hate,I got offered once by a neighbor to go to a church down the street &amp; thought about it but then found out a week later the priest was sexually assaulting immigrant women &amp; threatening to call ICE on them if they told. That was my sign to stay w my little shrine in my room 👋🏼
Non-Hate,"This little boy blew his shofar to welcome the new immigrants arrive home in Israel. Arriving from the US, Russia, France, Argentina and Brazil! WATCH the story here: https://t.co/t1LpCt185R #ShabbatShalom https://t.co/8w6QEqOL61"
Hate,Good Morning Patriots xx Let everything we do be done with them in mind.#WalkAwayFromDemocrats #BuildThatWall #MAGA #ChooseLife #VoteDemsOut #REDWAVE2018 #Midterms #VoteRED #TinyLivesAtStake
Non-Hate,Most ‘˜refugees’ actually come from ‘˜normal’ circumstances  #America #UnitedNations... https://t.co/zX5Uz7aje2 https://t.co/btDlmKz9Pl
Hate,"The German Government Pays for 3 Week Vacation for Refugees to Go Home #MuslimImmigration  No the German government isn't paying, the German taxpayers are paying! The German government is robbing native Germans to finance the Islamization of Germany.  https://t.co/4CqBuf4in4"
Non-Hate,He started this hashtag because there's a certain type of immigrant to Germany he doesn't like and wants to humiliate. We @CamburgBahnhof are in that group. RT if you think we should be able to stay and finish our Bahnhof renovation. Danke! #neogermans https://t.co/tzq0qfnqT8
Non-Hate,Funny Trump hasn’t had any trouble getting visas for his immigrant labor at his clubs https://t.co/TXSAupYYx6
Hate,"Great article on the #refugee crisis in Europe. ""The driving question for Europeans is: “How do we make it stop?” But it refers not to the humanitarian drama of the forcibly displaced, just to their ability to reach Europe."" https://t.co/claSlK8lIH"
Non-Hate,The issue of #humantrafficking came back to the forefront following death of #Indonesian maid in #Malaysia https://t.co/ZOeBmjDzlE @roskarel @ucanindonesia @jakpost @M_RSection @UNmigration
Non-Hate,Uber has become racist organization. If you are an immigrant they deactivate your account even if you are a five star driver with over 2000 plus star claiming reports that is unfounded. No warning just like that.
Non-Hate,These are Canadian refugees https://t.co/rzASmgFGJn
Hate,"How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm? #BuildTheWall #BuildThatWall #BuildTheDamnWall"
Non-Hate,"Let’s talk about immigrants fighting fires - not starting them: https://t.co/T8WJbkBWjA (photo: Marcus Yan, Los Angeles Times) https://t.co/jcLg42tuIg"
Non-Hate,"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting?"
Non-Hate,@ChenGonSol @phoenixkhost @phillycustoms So kids of illegal immigration being put in temporary detention centres (which they are put there so they don’t have to go to a full on prison with their parents) = authoritarianism? Surprise: if you cross into a
Hate,"Here Illegally you are breaking the law!  The laws states you get deported not a choice ! You dont get to come to the U.S Illegally ,feel Entitled Demand to stay , ake jobs from Citizens and steal U.S Resources #Trump #MAGA #SendThemHome https://t.co/Y9c2Uav5dD"
Non-Hate,Austria holds drill to simulate repelling illegal migrants at border https://t.co/b62mCw6eB6
Non-Hate,A new trend has started Everybody is collecting money for Syrian refugees without any control of govt agencies... https://t.co/yGJjEA9Ld3
Non-Hate,#Philippines backs 'long-overdue' UN migration pact #UnitedStates #UnitedNations https://t.co/RtsbEOYjB0 https://t.co/s1dccQuJKe
Hate,"@Daily_Record I bit my toungue when l heard Syrian refugees complain about Rothsey then again , maybe someone can swop them with a high rise"
Non-Hate,#ICE #IllegalAliens #Border #Immigration #BringBackOurBorders#Oakland Mayor #LibbySchaaf warned everyone in... https://t.co/aNBFsenKui
Hate,"@cscbailey @TechQn @sabine_durden @yinyang9 @HillaryClinton @POTUS 75% of illegal Aliens commit Felons such as ID, SSN and Welfare Theft Illegal #Immigration is not a Victimless Crime ! https://t.co/TM8Yu8IbcW"
Non-Hate,"New @guardian story by @susborne on #HostileEnvironment in homes, NHS, schools, unis&amp;more. https://t.co/X0lcYqOFUJ  Here's a film &amp; links to our research on this since 2013 #GoHomeVan https://t.co/9ZuyL5uOMt  You can download our @ManchesterUP book here: https://t.co/uvIECMJoDc https://t.co/fbr6w7fVMf"
Non-Hate,"Why isn't Ann Coulter worried about losing credibility for saying something like ""the immigrant kids being shown in cages are child actors""? by Jim Henley https://t.co/3X73QUtXnT"
Hate,@DemingRyan s bio on here says #BuildThatWall
Non-Hate,Compromise in migration dispute that threatened Merkel's govt https://t.co/Gej78IGbz3
Non-Hate,I guess the Koch brothers funded racist Tea Party marches are no longer needed! Republicans ruin the economy &amp; press Democrats to fix the economy! Obama was OBSTRUCTED by Republicans! No help! #SendThemHome! #DontBooVOTE https://t.co/C8fGUY184c
Non-Hate,I've pledged to make sure my surgery is a safe space free from the #hostileenvironment. I'm an MP not a border guard https://t.co/X5RPvm5SJY @GlobalJusticeUK @migrantsorg https://t.co/tVioaJm12v
Non-Hate,Aquarius boat to resume migrant rescue mission https://t.co/dzN7a0NK1L
Non-Hate,"Max Mosely son of Fascist Leader Sir Oswald Mosely   Firstly, seems common practice to get knighted for being a Fascist in Britain  Second, he’s given an awful lot of funding to Tom Watson https://t.co/FURfyShRJi"
Hate,South Koreans Stand Against Islamic Immigration!!! https://t.co/clDfy5dHyr via @YouTube
Hate,@CaliConsrvative @realDonaldTrump Blood is on the #Democraps hands for sure!! #BuildThatWall
Hate,@RealDonaldTrump Its time to end Obama Illegal #DACA and Stop Rewarding Illegal I#mmigration U.S Youths need #Jobs #AmericansFirst #Trump #MAGA #RedNAtionRising #WalkAway https://t.co/DpAYWcHolj via @voxdotcom
Non-Hate,@SocialPowerOne1 Not our problem #sendthemhome
Hate,@FoxNews We need our ARMY down there to #StopTheInvasion!!!WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders?!!?!??!
Hate,@J_VoiceUK Listening to the world service this am criticism of Israel for wanting to deport young African male migrants it maybe evidence from Europe like France and France many are not settling and are turning to crime better the truth than living a lie
Hate,Daily migrant invasions  #migrant #buildthewall #illegal #trespassers #sendthemback https://t.co/QSLuo17CrJ
Non-Hate,Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune https://t.co/AXXfEhCEmz
Hate,Europeans Are Waking Up! | How Even Ordinary People Are Beginning to Take Action Against Immigration - YouTube https://t.co/xU464l93WS
Non-Hate,Apparently the Dutch Red Cross is trying to raise funds for the repatriation of Syrian refugees. Which seems both premature and irresponsible. https://t.co/ui1yylu0eG
Hate,"Homes use to look beautiful and full of effort now they are just mass produced to fit the third world ""immigrants"""
Non-Hate,"Spain's overwhelmed coastguard says it can't cope with migrant influx, as 700 rescued in oneÂ… https://t.co/1dx6usc6yb"
Non-Hate,"Fox Scumbag Laura Ingraham claims Trump is protecting immigrant children from their drug abusing, child trafficking parents  Read Story: https://t.co/9RPrxjNeiy   #ImpeachTrump #Resist #VoteBlue #GOPScum #FoxLies https://t.co/MCCO9UbZxO"
Hate,@buzzman888 @Golfinggary5222 .Can you say #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall#BuildThatWall #BuildT
Non-Hate,The Pope is exposed for his direct involvement in Italy’s migrant crisis ‘“ Leo Zagami https://t.co/J0kgKKgAQs
Hate,"@ICEgov GOD BLESS ICE, THANK YOU FOR GETTING ILLEGAL ALIENS OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS. #NoSanctuaryStates #NoSanctuaryCities #NoDACA #NoAmnesty #NoCommunists #NoSocialism #AmericaFirst #AmericansAreDreamersToo #MAGA #KAG"
Non-Hate,The government filed paperwork with the judge saying that the ACLU and its clients should bear much of the responsibility for finding deported parents in Central America. https://t.co/4g9tAfkLmg
Hate,"Then no need to even buy your products, no biggie, love our Trump period @potus @realDonaldTrump #BuildTheWall #LockThemUp #EndDACA now !!!!!!!!!!!"
Hate,Illegal Alien unlicensed Drunk Driver rams Ambulance kills 3 year old being rushed to hospital. #EndDACA #NoAmnesty #EnforceUSLaws#KeepAmericaSafe#DeportThemAll
Non-Hate,"“Be fearless, be kind, get to know your neighbors.” This is what Mandy Manning, 2018 National Teacher of the Year and friend of @WRSpokane, teaches her #refugee and #immigrant students. Read her story âž_x009d_ https://t.co/UaolUHZDAc https://t.co/qM5oy6iXRP"
Non-Hate,These are the stakes. This is what's happening to immigrants who Trump is targeting.   It is not an exaggeration to say that Trump's detention and deportation machine is a life-or-death issue for immigrant families.   #FamiliesBelongTogether   https://t.co/uh4BmkIRbO
Hate,"@louisbeamerboy Good one! “The government predicts that in 2030, immigration will overtake new births as the dominant driver of population growth.” PREDICTS = causes by failure to stop. #BuildTheDamnWall"
Hate,@realDonaldTrump We need the wall now Mr. President. Don't listen to the lifetime politicians. Listen to your voters and #BuildThatWall
Hate,Algerie send a clear message for refugees. About 400 refugees are leaved in the desert without water today. Its only few time till they will die. This will stop all refugees to try to went over the territory of Republic of Algerie https://t.co/Tsfcv4Shin
Non-Hate,"No Christians among 1,112 Syrian refugees resettled in #UK https://t.co/Z7Vlq83DBg"
Non-Hate,Labor migrants transfer almost $ 10 billion a year to Ukraine https://t.co/sVUPqDoH2q
Non-Hate,sharia Law Tessa is that not tony Blair's wife   no y do you let islam law into the country stupid woman with stupid promises she cant keep
Hate,"@ndrew_lawrence He is 100% accurate. Diversity is our greatest weakness. Unity is our strength. United we stand, divided we fall. #BuildTheWall #DeportThemAll #StopTheInvasion #AmericaFirst"
Hate,@RepLowenthal Asylum seekers should enter at a LEGAL #USA port of entry & not enter illegally! Separation only occurs with those breaking American #immigration law! #WakeUp #Democrats to lies & #WalkAway #MAGA #BuildThatWall
Non-Hate,#Libya : humanitarian repatriation after 164 #illegal_migrants asked to go back to their home countries.â†’  https://t.co/H77Po9cW1U https://t.co/vHDxwGvgpP
Hate,I am all for this!! #BuildThatWall
Non-Hate,PALLYWOOD* IN THE AEGEAN? Caught in the act: Film crew staging fake Muslim migrant drownings at sea on the Greek island of Crete https://t.co/xmo6aLWLgh via @barenakedislam Fake news...
Hate,"Say it loud, say it clear, illegal #immigrants are not welcome here https://t.co/x1q9gOzmVZ"
Non-Hate,The chances that #Rohingya refugees may benefit from parliament's shake up are still slim https://t.co/veUcIqF6TQ #ucanews #voiceforthevoiceless #refugees #SocialJustice #Myanmar #AungSanSuuKyi @MyMissionReview @OfficialSuuKyi @UNDP_Myanmar @VoiceRohingya @bbcburmese @MizzimaNews
Non-Hate,"@DrARWN We need a moratorium on all immigration, legal or otherwise, esp from non-European countries"
