class,text,hate
Non-Hate,texa moral respons protect detain immigr kid hispan lawmak say  yes  jurisdict mani state union  state law child abus ,0
Hate,two children wash barb wire beach anoth scum photograph anoth attempt get eu take migrant enough propaganda,1
Non-Hate,illeg alien charg murder homeless woman new york citi   #stoptheinvas,0
Hate,watch muslim migrant terror swedish peopl includ elder peopl stand way  free speech time   ,1
Non-Hate,eu worri popul ten thousand migrant reach spain ,0
Hate,islam europ documentari arab african immigr destroy  via ,1
Non-Hate, attack state immigr  drag feet sign critic legisl protect immigr communiti includ   sb   sb   sb   sb   sb   #ilgov #twill ,0
Non-Hate,rescu migrant arriv pozzallo itali grant approv dock ,0
Hate, passeng harlingen dallastx infect mani measl stop invas #buildthatwal #kag,1
Hate,street #uk look like  year #brexitnow #stopimmigr,1
Non-Hate,legal immigr leav us visa renew yet ton peopl give shit stanc illeg immigr cuz logic  stay awesom stay posit love ,0
Non-Hate,italian bishop warn europ must avoid fear xenophobia welcom muslim migrant  via  anoth christion moron death wish ,0
Hate, look forward made arab world rich got paid #buildthatwal,1
Non-Hate,establish europ court humanright court allow crimerefuge stay forev europ send back homeland court respons mulricrimin societi futur one say ,0
Non-Hate,dear  thank give back son immigr came us pocket thank give opportun one biggest fan athlet prowess commit educ ultim equal ,0
Non-Hate,plight #rohingya repres present futur #myanmar much south #southeastasia           ,0
Non-Hate,longer alon italian prime minist hail #eu migrant distribut success ,0
Non-Hate,lisdoonvarna villag earmark replac along grow number town citi right across ireland listen irish fg minist equal immigr ,0
Hate,let build wall#buildthatwal,1
Non-Hate,us suprem court uphold donald trump immigr travel ban  via ,0
Non-Hate,worker charg sexual molest eight children immigr shelter  #sasc #colga #speakup #speakout,0
Non-Hate,guatemalan mother separ yearold daughter wait ,0
Non-Hate,instead make illinoi welcom state  turn back immigr communiti seri bill sit desk #ilgov #twill ,0
Hate, toronto last year longer look like canada sad situat canadian good peopl immigr start deport right homeland,1
Hate,democrat patriot pls call repres demand #kavanaugh confirm esp reelect    #saturdaymotiv #usopen    #maga #buildthatwal #rednationris #walkaway,1
Non-Hate,new antimigr nation consensus ,0
Hate,sweden migrant rape year old grandmoth christma eve  allow remain sweden #swrm #sendthemhom #sweden #rapist  via ,1
Non-Hate,right  ,0
Non-Hate,immigr mental job taken away time make sure earn everi day   pepsi indra nooyi learn ceo ,0
Non-Hate,join  teachin surviv violenc ice experi crimin immigr survivor thursday sf  ,0
Non-Hate,polish prime minist mateusz morawiecki insist poland would push  discuss refuge reloc part eus  migrat polit,0
Hate, well said danielhi speech smack alinski divid  conquer victim one group  call bigot racist fascist etc#maga #kag #potus #trump #new #voter #nodaca #walkaway #americafirst #usa #backtheblu,1
Hate,  refuge illeg immigr whether one document  difficult slum peopl beggar show valid document except name voter list st,1
Non-Hate,refuge dont choos refuge definit refuge forc leav home countri live safeti threatenedlearn refuge download free ebook  thing know refuge xd  ,0
Non-Hate,ralli support detain pizzawork immigr ,0
Hate,id say electrifi water would kill wildlif #sendthemback,1
Non-Hate,actual milo alex friend white hous aint nobodi come unlik say muslim ot immigr chilfren ,0
Hate,good newsw illeg immigrantsbangladeshi must go  evid stay assam ,1
Hate, deport illeg alien kid back rd world nation american citizen taxpay tire rob rd world nation pay illeg alien kid #maga #buildthewal #nodaca #noamn,1
Non-Hate,  german ok like rest western europ immigr problem came east romania part respons vote also eu unelect hard claim repres european nation,0
Non-Hate,manind felt immigr new zealand said  via ,0
Non-Hate,fail integr refuge children risk devast consequ children youth school unemploy suscept crime exploit abus possibl radic ,0
Hate,mani lice find viennes school refuge brought us gift rescu cost   person ,1
Non-Hate,way damag lasvega stupid mgm turn nevertest law sue vega shoot victim   ,0
Hate, donat flight deport invad back homeland  #stoptheinvas #deportthemal  ,1
Non-Hate,russia  russia di  wait  big scari russia help peopl go home without detain etc ,0
Hate,  fake news new stephen miller rule public charg rule part us #immigr law  sinc    us taxpay give welfar immigr import world poor   #veteran  #trump #maga ,1
Non-Hate,politifact florida bill nelson claim detain immigr parent charg minut call children phoni make sick     share googl feed,0
Hate, pl save delhi becom slum cityamphub illeg migrantspl take lg help remov encroachmentsampevict im,1
Non-Hate,usual media give two side republican side democrat side immigr view bother offer allow suppli demand labor  decid mani cross let econ  suppli demand decid,0
Non-Hate,netherland  girl per year becom sex slave migrant background men  cape fear caller  via ,0
Non-Hate,book help kid understand like #refuge  #withrefuge      ,0
Non-Hate,russian meddl syrian refuge repatri,0
Hate, need improv countri school neighborhood hospit prison kick illeg #buildthedamnwal #buildthatwal,1
Non-Hate,everi nation tribe tongu still appli theyr doorstep instead mani refus go god start bring us antiimmigr attitud mindset antigod period,0
Non-Hate,peopl say didnt immigr central south america appli proper way keep form  decad immigr discrimin peopl color central south america,0
Non-Hate,mandi man one world relief friend partner  name  nation teacher year work #refuge #immigr student read incred stori xd  ,0
Non-Hate,start pittsfield etv bcc present access higher ed berkshir immigr stori,0
Hate,   cannot allow happenchild kidnapp molest miller need gone,1
Hate,thing wash away problem big red wave november#bigredwav #sendthemback #illegalcrimin,1
Non-Hate,canada use dna test ancestri websit investig migrant far im concern enter undocu  illeg gave right privaci ,0
Hate,immigr hung shot period anim ,1
Non-Hate,immigr health worker uk  ,0
Non-Hate,dont mess migrant dad #skimmlif  via ,0
Hate,soon finish usturkey secretserv action fighter  open syrian passport use stop immigr europ ,1
Hate,   boy sure hate separ kid didnt they#liberalismisamentaldisorderth kid shouldnt get stay #deportthemal #endfamilyseparation#stopcatchandreleas,1
Non-Hate,wonder woman kind immigr need  ,0
Non-Hate,continu amp sustain damag  tori ,0
Non-Hate,texa v daca draw feder judg andrew hanen big troubl loom immigrationactivist  ,0
Hate,  real talk eye goug rapefuge,1
Hate,#wakeup #spain  stop #illegalimmigr  #sendthemback  ,1
Hate, long take #buildthatwal,1
Non-Hate,know right defend right come join train focus build sustain communiti resist increas violenc communiti color amp immigr communiti aug  ampm open sign  ,0
Non-Hate,us armi quiet discharg immigr recruit ,0
Non-Hate,libya let #europebound migrant die mediterranean rescu group say ,0
Hate,danger treason individu paid soro globalist   #lockherup #buildthewal #boycottnik #boycottnfl #enddaca ,1
Hate,good news illeg alien claim fake asylum deport record number #heretostay #immigr  #rednationris #trump #maga #sendthemhom  via ,1
Non-Hate,got offer neighbor go church street amp thought found week later priest sexual assault immigr women amp threaten call ice told sign stay w littl shrine room ,0
Non-Hate,littl boy blew shofar welcom new immigr arriv home israel arriv us russia franc argentina brazil watch stori  #shabbatshalom ,0
Hate,good morn patriot xx let everyth done mind#walkawayfromdemocrat #buildthatwal #maga #chooselif #votedemsout #redwav #midterm #voter #tinylivesatstak,1
Non-Hate,refuge actual come normal circumst  #america #unitedn  ,0
Hate,german govern pay  week vacat refuge go home #muslimimmigr  german govern isnt pay german taxpay pay german govern rob nativ german financ islam germani  ,1
Non-Hate,start hashtag there certain type immigr germani doesnt like want humili  group rt think abl stay finish bahnhof renov dank #neogerman ,0
Non-Hate,funni trump hasnt troubl get visa immigr labor club ,0
Hate,great articl #refuge crisi europ drive question european make stop refer humanitarian drama forcibl displac abil reach europ ,1
Non-Hate,issu #humantraffick came back forefront follow death #indonesian maid #malaysia      ,0
Non-Hate,uber becom racist organ immigr deactiv account even five star driver  plus star claim report unfound warn like,0
Non-Hate,canadian refuge ,0
Hate,gofundm hundr million dollar build wall along border side farm #buildthewal #buildthatwal #buildthedamnwal,1
Non-Hate,let talk immigr fight fire  start  photo marcus yan los angel time ,0
Non-Hate,plan immigr children kidnap slaveri sex traffic organ harvest,0
Non-Hate,   kid illeg immigr put temporari detent centr put dont go full prison parent  authoritarian surpris cross,0
Hate,illeg break law  law state get deport choic  dont get come us illeg feel entitl demand stay  ake job citizen steal us resourc #trump #maga #sendthemhom ,1
Non-Hate,austria hold drill simul repel illeg migrant border ,0
Non-Hate,new trend start everybodi collect money syrian refuge without control govt agenc ,0
Non-Hate,#philippin back longoverdu un migrat pact #unitedst #unitedn  ,0
Hate, bit toungu l heard syrian refuge complain rothsey  mayb someon swop high rise,1
Non-Hate,#ice #illegalalien #border #immigr #bringbackourborders#oakland mayor #libbyschaaf warn everyon ,0
Hate,       illeg alien commit felon id ssn welfar theft illeg #immigr victimless crime  ,1
Non-Hate,new  stori  #hostileenviron home nhs school unisampmor   here film amp link research sinc  #gohomevan   download  book  ,0
Non-Hate,isnt ann coulter worri lose credibl say someth like immigr kid shown cage child actor jim henley ,0
Hate, bio say #buildthatwal,1
Non-Hate,compromis migrat disput threaten merkel govt ,0
Non-Hate,guess koch brother fund racist tea parti march longer need republican ruin economi amp press democrat fix economi obama obstruct republican help #sendthemhom #dontboovot ,0
Non-Hate,ive pledg make sure surgeri safe space free #hostileenviron im mp border guard    ,0
Non-Hate,aquarius boat resum migrant rescu mission ,0
Non-Hate,max mose son fascist leader sir oswald mose   first seem common practic get knight fascist britain  second hes given aw lot fund tom watson ,0
Hate,south korean stand islam immigr  via ,1
Hate,  blood #democrap hand sure #buildthatwal,1
Hate, time end obama illeg #daca stop reward illeg i#mmigr us youth need #job #americansfirst #trump #maga #rednationris #walkaway  via ,1
Non-Hate, problem #sendthemhom,0
Hate, need armi #stoptheinvasionwher import defend nation border constant onslaught hostil foreign invad,1
Hate, listen world servic critic israel want deport young african male migrant mayb evid europ like franc franc mani settl turn crime better truth live lie,1
Hate,daili migrant invas  #migrant #buildthewal #illeg #trespass #sendthemback ,1
Non-Hate,judg order govern releas immigr kid texa shelter  texa tribun ,0
Hate,european wake  even ordinari peopl begin take action immigr  youtub ,1
Non-Hate,appar dutch red cross tri rais fund repatri syrian refuge seem prematur irrespons ,0
Hate,home use look beauti full effort mass produc fit third world immigr,1
Non-Hate,spain overwhelm coastguard say cant cope migrant influx  rescu one ,0
Non-Hate,fox scumbag laura ingraham claim trump protect immigr children drug abus child traffick parent  read stori    #impeachtrump #resist #voteblu #gopscum #foxli ,0
Hate,  say #buildthatwall#buildthatwal #buildthatwal #buildthatwal #buildthatwall#buildthatwal #buildthatwal #buildthatwal #buildthatwall#buildthatwal #buildthatwal #buildthatwal #buildthatwall#buildthatwal #buildt,1
Non-Hate,pope expos direct involv itali migrant crisi  leo zagami ,0
Hate, god bless ice thank get illeg alien sovereign countri street #nosanctuaryst #nosanctuaryc #nodaca #noamnesti #nocommunist #nosoci #americafirst #americansaredreamerstoo #maga #kag,1
Non-Hate,govern file paperwork judg say aclu client bear much respons find deport parent central america ,0
Hate,need even buy product biggi love trump period   #buildthewal #lockthemup #enddaca ,1
Hate,illeg alien unlicens drunk driver ram ambul kill  year old rush hospit #enddaca #noamnesti #enforceuslaws#keepamericasafe#deportthemal,1
Non-Hate,fearless kind get know neighbor mandi man  nation teacher year friend  teach #refuge #immigr student read stori xd  ,0
Non-Hate,stake what happen immigr trump target   exagger say trump detent deport machin lifeordeath issu immigr famili   #familiesbelongtogeth   ,0
Hate, good one govern predict  immigr overtak new birth domin driver popul growth predict  caus failur stop #buildthedamnwal,1
Hate, need wall mr presid dont listen lifetim politician listen voter #buildthatwal,1
Hate,algeri send clear messag refuge  refuge leav desert without water today time till die stop refuge tri went territori republ algeri ,1
Non-Hate,christian among  syrian refuge resettl #uk ,0
Non-Hate,labor migrant transfer almost   billion year ukrain ,0
Non-Hate,sharia law tessa toni blair wife   let islam law countri stupid woman stupid promis cant keep,0
Hate,  accur divers greatest weak uniti strength unit stand divid fall #buildthewal #deportthemal #stoptheinvas #americafirst,1
Hate, asylum seeker enter legal #usa port entri  enter illeg separ occur break american #immigr law #wakeup #democrat lie  #walkaway #maga #buildthatwal,1
Non-Hate,#libya  humanitarian repatri  #illegalmigr ask go back home countri   ,0
Hate,#buildthatwal,1
Non-Hate,pallywood aegean caught act film crew stage fake muslim migrant drown sea greek island crete  via  fake news,0
Hate,say loud say clear illeg #immigr welcom ,1
Non-Hate,chanc #rohingya refuge may benefit parliament shake still slim  #ucanew #voiceforthevoiceless #refuge #socialjustic #myanmar #aungsansuukyi      ,0
Non-Hate, need moratorium immigr legal otherwis esp noneuropean countri,0
Non-Hate,true  #women#dalits#muslims#illegalimmigrantsal vote bank #votebank ,0
Non-Hate,immigr youth #heretostay    ,0
Non-Hate,passion place amp purpos  sat  sept   book  methodist dismiss complaint jeff session use bibl defend famili separ ,0
Non-Hate,build wall                    undocu immigr arrest connect rape yearold girl,0
Hate, stop immigr  muslimcountri quick,1
Non-Hate,implement well could good news philadelphian ,0
Non-Hate, stand woman cologn add franc seem young arab immigr want isi abus deport jail,0
Hate,      american want safeti secur illeg drug gang  crimin st#buildthedamnwal #buildthatwal,1
Non-Hate,problem book refer written  year ago massiv chang china definit mass emigr us perhap opposit ,0
Hate,wonder mani refuge accus fraudit permeat whole program ,1
Hate,  current #gop #congress doesnt care #american think want obamacar support mueller investig dont support tax scam want #responsibleguncontrol dont want #buildthatwal stop vote,1
Hate,border agent kill partner injur illeg immigr use rock report say  #preventabledeath,1
Hate,trump mean immigr europ destroy europeh right aliv new presid make good job usa european ruler housedog make everyth like ,1
Non-Hate,#eu offer state fund take migrant ,0
Non-Hate,zuckerberg facebook wont delet holocaust denial post ,0
Hate,#dobb #budget #congress #presidenttrump #appropri #buildthatwallif much wall secur away congress extract negoti daca limit chain migrat visa lotteri etc well meritbas immigr principl raiseact,1
Hate, bangladeshi nation apprehend near texa border  week via  #noamnesti #deportilleg #buildthatwal #trump #maga #masa,1
Non-Hate,itali test eus hail migrant agreement cont refus accept  rescu migrant ,0
Hate,get hot life accept femal climat refuge regim renounc patriarch way otherwis let roast,1
Hate,scroungerssoldi come creat caliph creat chao go home look girlfriendswiveskid fight age last thing refuge bugger bye bey cheer ,1
Non-Hate,result industri scale #immigr quit unprecedentedinflow peopl lowerpaid work negat impact wage lowest paid bank england confirm #brexit #brexit #brexitbetray #brexitshambl #bitcoin,0
Hate,easi solut benefit child  wife  vote st nd generat immigr simpl solut   combin benefit guarante job home unless appli arriv soft touch ps gulf state saudi intak refuge   ,1
Hate,   steinl murder illeg mexican immigr juli  ,1
Hate,     solarpow laser station along entir southern border live cam watch barbecu faster buildthen call #operationcookout#maga #qanon #buildthatw,1
Hate,cultur divers american cultur fast becom minor cultur one requir take cultur divers train one america without learn american cultur #buildthatwal #ice #scotus #trumpral,1
Non-Hate,media silenc ,0
Hate,mean asylum seeker crimin whaaaaasaaaaaaaaa #liberallog #closebord #deportillegalimmigr #buildthatwal,1
Non-Hate, eu core relat migrant came  last year reunif littl sister  want new limit month bt embassi alreadi report  new request end delus merkel csu#visegrad #v ,0
Non-Hate,report immigr deport separ lifelong impact  #chicagotonight ,0
Non-Hate,refuge spi attack media put immigr kid cage war nice w murder dictat neglect black communiti amp mass deport thing trump accus obama actual guess  holiday amp nobel peac prize #stopthebia ,0
Non-Hate,#eu migrat polici kill  refuge sea far year ,0
Hate,  ignor role immigr invas white genocid hous disast isnt irrespons crimin,1
Hate,poland countri safe havent taken refuge   ,1
Hate,right  prefer illeg migrant law breaker american citizen  would never vote ,1
Hate,max mosley publish byelect leaflet say colour immigr threaten children health  ,1
Hate,sheer racism bigotri isra lawmak oren hazan black african refuge theyr get marri kid well stop dont even cultur need destroy problem still small #israel ,1
Non-Hate,hope reconsid mani thing  esp #immigr ,0
Non-Hate,anyon michigan abl drive immigr famili detroit chicago wednesday group driven mom across countri reunit w kid famili need help pick document chicago dm detail ,0
Non-Hate,two thing learn articl   peopl push wheelchair airport basic work tip dont neglect show appreci   huntleigh usa corpor suck  ,0
Non-Hate,continu serv immigr refuge memphi midsouth across countri ,0
Non-Hate,pursu reckless irrespons cours action us creat situat hardship cruelti palestinian refuge,0
Non-Hate,moscow pressur west fix countri syria broken russia iranand client assad regimeit form blackmail either lavish reconstruct fund regim refuge wont go home amp may arriv ,0
Non-Hate,#eu migrat polici focus ,0
Non-Hate,miss   last week probabl stay relev quit  made kill convinc town pass antiimmigr ordin most unsuccess defend ,0
Non-Hate,#rt #autumnladi  mara mcclain young irish immigr look begin anew victorianera san francisco california gold rush #amazon   #romanc #grbooksu #mustread #histfic #bookboost #bookworm #goodread ,0
Hate,flee live migrant trek us  tell rep refuge immigr  via ,1
Non-Hate,chang air mainstrem media even call violent iraqi immigr status  refuge ,0
Hate,daili  refuge come eritrea  first want better life second militari servic need long   accept eu wrong come pay   illig coorrupt help ,1
Non-Hate,damn un report reveal state global refuge crisi  ,0
Non-Hate,anyon spent time europ canada usa last two descad know australia problem isnt migrant number inact infrastructur develop road public transport closer india,0
Hate,mn somali muslim immigr explain accept kill anyon insult moham   via  dont worship moham amp sharia dont like go home deport,1
Non-Hate,raheem kasam incred report germani commando foil terror plot muslim migrant stockpil ricin shrapnelpack ,0
Hate, keep illeg lock broke law  dont let infect aemrican diseas #notmoreillegal#trump #maga #immigr ,1
Hate,immigr gone crazi  traine doctor abroad nurs practition equival get pain peanut train come uk,1
Non-Hate,photo obama illeg immigr detent facil media wont show  via ,0
Hate,ridicul   lot usa citizen dont even earn much money work tri support  refuge need go home ,1
Hate,  ilig refuge go home kid,1
Non-Hate,trump pick lead un migrant group push fear sharia law ,0
Hate,immigr come legal like  milion everi year cross border illeg dont blame us illeg action   aido   #trump #maga #rednationris   via ,1
Non-Hate,law undermin honest effort legal immigr seek american dream #sendthemback ,0
Hate,#buildthatwal cant afford dummi cant make,1
Non-Hate,congress must aid abet administr shame treatment immigr time demand moral compassion system ,0
Non-Hate,italian priest say antiimmigr matteo salvini antichrist  via ,0
Non-Hate,philippin cathol bishop work migrant worker focus famili pay great ,0
Hate,uk polish immigr return home cite fear terror antiwhit racism black  via ,1
Non-Hate,dc  dprint gun subject background check  gover via  ,0
Non-Hate,xf  million refuge fled home countri  that biggest increas seen singl year ever,0
Non-Hate,watch refuge say sweden first countri convert islam europ  free speech time   ,0
Hate,rape europ muslim rapefuge hell  sweeden betray feminazi govern sodomit  swedish dentist fire report refuge patient  via ,1
Non-Hate,great articl  mexican born wild land firefight save properti trump countri shasta co bad fall upon deaf trumper ear   ,0
Hate,forbidden franc say french peopl first illeg migrant ,1
Non-Hate,crazi warminist von der leyen think weapon bring peac mali niger less refuge never weapon bring peac ,0
Non-Hate,subterranean moneymak real global use domest polit keep world safe oligarchstyl dealmak distract peopl religi antiimmigr nation protect oligarch network mueller detail    ,0
Non-Hate,look refuge migrant camp ahead eu meet ,0
Non-Hate,republican antiunion bill goe flame missouri ,0
Hate, stop wast taxpay money illeg alien #immigraiton program cost  million kill program #sendthemback faster #trump #maga #rednationris #gop,1
Non-Hate,sometim live countri right feel like kind fever dream even background context without doomi music stori still harrow beyond belief  ,0
Hate,spain becom third world american tourist almost kill migrant speak  via ,1
Non-Hate,mayb diversityor result western globalizationwar propaganda pentagon n hollywoodarm terroristsantigovt groupsrefuge good economi laborstraffickingeiffel tower glass mani thingsbut peac   ,0
Hate,wtf wait ppl death us #buildthatwal,1
Non-Hate, switzerland peopl manag get referendum chang financi system promis karl marx end financi crisi come forev schedul june th  got  signatur ,0
Hate, year refuge franc crack immigr number  refuge get resourc help uk  sweden crime rate goe soar young refuge rampag  greec itali still forc take refuge,1
Non-Hate,whos gonna fight next war ap report us armi quiet discharg immigr recruit ,0
Non-Hate,ag session defend enforc immigr law ,0
Non-Hate,read articl look  brief propos chang public charg rule join us kc aug  discuss wnation immigr law center  ,0
Hate,far push work peopl  billion syrian refuge tax credit top peopl wage cut  children starv,1
Non-Hate,trump admin consid immigr plan make best use taxpay fund   ,0
Hate,dreamer repeat rape young girl north carolina via  #buildthewal #deathpenalty#childrape#protectus#keepamericasafe#nodaca,1
Hate, migrant get phone next load come mobil phone cost thing poor migrant phon,1
Non-Hate,#veteran first #refugeesnotwelcom  #veteransbeforeilleg ,0
Hate, fact illeg make crimin reward behavior come freedom like free stuff give illeag free stuff wouldnt #buildthatwal,1
Hate,trump stand victim immigr violenc ,1
Hate, deport illeg alien kid back rd world nation #maga #buildthewal #nodaca #noamnesti #deportallofthem,1
Non-Hate,kurdish refuge stay stage  skala sykamia refus enter transport buse provid greek author  upon rumor go taken back #moria appar decid walk mytilen km away,0
Hate,boat shall drown mediterranean sea rest assimil societi leav immedi #refugeesnotwelcom #illegalalien,1
Non-Hate,emin imam sheikh dr farrokh sekaleshfar  australian immigr sent hate preacher wont ,0
Non-Hate,latest #uk juri convict jet ski migrant smuggler  ,0
Hate, wake  prepar stop evil dead track #sendthemback #deporttheundesir #kickoutthely #savetheworldundertheonetruegod,1
Non-Hate,could complet chang face refuge aid ,0
Non-Hate,let keep america welcom #wewelcomerefuge rcusa hearten th us circuit court appeal rule ,0
Non-Hate,latest macedonian polic find  migrant insid truck ,0
Non-Hate,act warnot homicid ,0
Hate,  would bet your look fact  that obfuscatepresid trump nato immigr take europ  know,1
Non-Hate,california changedwhen first move california attract kind iraqi refuge migrant ,0
Hate,  address legal immigr wellth racial interest major long term must address without apolog,1
Hate,ms gang member break brooklyn ny nd floor apart rape girl #buildthedamnwal #noamnesti #nodaca #illegalimmigr #illegalalien #illegalalien #ms,1
Non-Hate,wonder articl  present often misrepres fact #refuge #asylumseek come #canada ,0
Non-Hate,#burundiin kigoma tanzanian author becom hostil burundian refuge refuge small busi close last friday threaten tone kigoma governor told must return burundi mani refuge fear return ,0
Non-Hate,im genuin surpris see wing scotland support mass uncontrol immigr scotland live england think fail asylum seeker stay uncap welfar think mundel bigot want immigr law appliedw cuck ,0
Non-Hate,didnt cover cost travel hundr peopl would abl open fresh claim submit extra evid direct affect chanc receiv refuge status uk donat today ,0
Non-Hate,icrc lot work rohingya refuge return myanmar ,0
Non-Hate,last  line true decid get come doesnt  ,0
Hate,angri italian offici refus let italian commerci ship disembark  refuge amp migrant think let libyan coastguard intercept return inhuman detent center instead  ,1
Hate,anyon answer questionwhi ok countri make lightheart even offens comment christian similar comment islam consid islamophob mainstream media#burqa #brexit #bitcoin #immigr #rtoday #saudiarabia,1
Non-Hate,trumpish view refuge resettl obsess antirefuge mislead name center immigr studi,0
Hate, real   bho  holder also kill  offic brian terri #fastandfuri debacl mani other die negligence#buildthewall#deportthemal #nodaca #noamnesti #noworkforewi,1
Non-Hate,   love articl thank amplifi voic mani refuge jordan,0
Non-Hate,#makassar refuge lock  day today want #indonesia presid joko widodo  know threat amp welcom pleas let children play amp adult need buy food durat visit pleas retweet amp email help ,0
Hate, time get american belong there hunger vet street homeless poor homeless mental case left without help dont need import allow anyon els countri #americafirst #nodaca #,1
Hate,  noreal refuge enrich cultur right bet ya hes older  too#sendthemback late save europ,1
Non-Hate,tune debat homeless amongst refuge   find read  brief  thank  sponsor debat import issu,0
Non-Hate,serious  ,0
Non-Hate,unfortun racist tactic use migrant communiti rememb spread fear cut fund vital servic migrant healthcar educ   via ,0
Non-Hate,sport coverag like msm propaganda purpos onlywhat promot right live world cup pre show  stori luka modri croatian soccer star refugeewhat realli mean white genocid defin,0
Non-Hate,greec search rescu oper migrant boat ,0
Hate,presid obama #democrat illeg immigr victimless crime cost taxpay lower wage #walkawayfromdemocrat #saturdaymorn #trump #maga #sendthemback,1
Non-Hate,#immigr travel banaffect countri high educ  age  ba higher compar  nativeborn us citizen stay tune full report next week         ,0
Hate,    number remark low previous year much higher bush year insanebut even lowest   month  definit invasion#stoptheinvas #securethebor,1
Non-Hate,worker charg  molest children immigr shelter  texa tribun ,0
Non-Hate,immigr great countri agre total use  year even long enough peopl need realli appreci given ,0
Non-Hate,even third america black citizen share view jason hill  jamaican immigr countri democrat parti current constitut would exist ,0
Non-Hate,need protect refuge big idea design save        ,0
Hate,illeg alien crimei rampant first sanctuari state oregonthes statist outrag constru close poll us state #noamnesti #nodaca #deportthemal #protectuscitizen,1
Hate,know funni immigr advoc tell go back home becuas like conserv immigr,1
Non-Hate,follow pioneer swedish immigr trail  #chisagocounti #exploreminn,0
Hate,illeg immigr bangladeshafg r play havoc indiahigh time mamtaampimmigr offic take noteif concern,1
Hate, famili bring kid countri illeg would  cant afford #sendthemhom,1
Hate, ruth davidson ur neither christian peopl ur brutal welfar cut  snp pleas dont want migrant either,1
Non-Hate,chitown  ,0
Hate,thank #ice  #buildthatwal ,1
Non-Hate,syrian regim set dispossess massiv number refuge home  accord un  criteria mean agenc cant facilit return syria  ,0
Hate,   that right man #favoritepresid #buildthewal #stoptheinvas #americansfirst one flag one countri ,1
Hate,stop illeg overcrowd  us school free lunch free breakfast obama free medic dental get wic doesnt check immigr status never file asylum enter us   #stopasylumscam #rednationris  #trump #maga #sendthemback ,1
Non-Hate,two face bori hes power trip dosent care immigr may liar chang l dont think,0
Non-Hate, illeg immigr found texa border citi stash hous one day  via ,0
Non-Hate,trump administr say need time meet deadlin set feder judg reunit immigr famili  meanwhil learn new detail smallest children separ parent #releasethehostag ,0
